pid	genus	hybrid	author	year	seed	pollen
6691#6691	NEOREGELIA	Red Robin	Stansfield, G.	2002	'Midas Touch'	'Big Boy'
6692#6692	NEOREGELIA	Red Rocket	Skotak, C., Tristram, P.*	<1998	carolinae	?
6693#6693	NEOREGELIA	Red Rogue	Smythe, R.	?	'Roy's Rogue'	'Roy's Rogue'
6694#6694	NEOREGELIA	Red Romance	Goode G.	?	'Burbank'	'Dark Delight'
15289#15289	NEOREGELIA	Red Ronin	Keerati Bromeliads	circa 2015	?	?
15268#15268	NEOREGELIA	Red Rose	Keerati Bromeliads	circa 2016	?	?
10067#10067	NEOREGELIA	Red Rouge	Przetocki V	1987	Beelzebub	Fireball
6695#6695	NEOREGELIA	Red Rover	Burstrom	<1984	compacta	olens '696'
6696#6696	NEOREGELIA	Red Sand	Zaghini, S.	1991	'Barbarian'	'Gold Fever'
6697#6697	NEOREGELIA	Red Sea	Hummel	<1980	'Barbarian'	'Gold Fever'
6698#6698	NEOREGELIA	Red Self	Yamamoto	<1984	'Barbarian'	'Gold Fever'
6699#6699	NEOREGELIA	Red Sheen	Oeser, (Ferris, O* #48)	<1986	'Barbarian'	carolinae
10393#10393	NEOREGELIA	Red Show	Smythe R	2007	Rosy Morn	Charm
6700#6700	NEOREGELIA	Red Smash	Stansfield, G.	1998	'Crimson Nest'	'Dr. Carl'
15312#15312	NEOREGELIA	Red Spartan	Kamolwan, Phupha	2015	Black Moon	Gladiator
6701#6701	NEOREGELIA	Red Spice	Quilhot, H.*	1978	olens?	Gladiator
6702#6702	NEOREGELIA	Red Sport	(Johnson, C.*?)	<1984	cruenta	Gladiator
6703#6703	NEOREGELIA	Red Spot	Quilhot, H.*	<1980	cruenta	Gladiator
6704#6704	NEOREGELIA	Red Star	Quilhot, H.*	<1980	cruenta	carolinae
6705#6705	NEOREGELIA	Red Sunset	Hummel	<1978	cruenta	carolinae
12386#12386	NEOREGELIA	Red Surf	Petersen S	1996	Royal Burgundy	Grande Fantastic Gardens
6706#6706	NEOREGELIA	Red Swirl	Quilhot*?	<1980	Royal Burgundy	carolinae
10797#10797	NEOREGELIA	Red Tabby	Paterson M	2005	Blushing Tiger	Blushing Tiger
11543#11543	NEOREGELIA	Red Throat	Groves G, Garcia R*	circa 1981	?	?
6707#6707	NEOREGELIA	Red Tide	Davis, T., (Johnson, C.*)?	<1996	?	?
6708#6708	NEOREGELIA	Red Tiger	Morris, W.	<1985	tigrina	'Red Of Rio'
6709#6709	NEOREGELIA	Red Undies	Goode, G.	<1998	'Bob'	'Small World'
6710#6710	NEOREGELIA	Red Variety	Carrone*	1973	marmorata	?
6711#6711	NEOREGELIA	Red Veil	Skotak, C., Tristram, P.*	<1998	(carolinae x 'Takemura')	'Perfecta Tricolor'
6712#6712	NEOREGELIA	Red Waif	Hendrix, G.,/ (Johnson, C.*)	1979	'Zebrina'	'Fireball'
6713#6713	NEOREGELIA	Red Wave		<1986	pineliana x carolinae	concentrica
6714#6714	NEOREGELIA	Red Waves		<1980	Fireball	zonata
6715#6715	NEOREGELIA	Red Wine	Oeser, (Ferris, O* #22)	<1986	carolinae	carolinae (redleaf hybrid)
6716#6716	NEOREGELIA	Red Wren	Freeman, A., Golinski, K.*	?	'Grace'	?
6717#6717	NEOREGELIA	Red Zebra	Quilhot, H.*	<1980	carolinae	?
15524#15524	NEOREGELIA	Red Zeppelin	Skotak, Chester / Eloise Beach*	2006	[[((carolinae variegated x johannis) x Hannibal Lecter) x (Skotak's Tiger x sp.Gurken Friburgo)] x lilliputiana] x (Mo Peppa Please x Norman Bates)	Mo Peppa Please x  Norman Bates
15625#15625	NEOREGELIA	Redback	Skotak, Chester / M & M Cameron *	2005	carolinae variegated x Hannibal Lecter	Norman Bates
15008#15008	NEOREGELIA	Reddish Lotus	Kornrao, Namchai	2016	carolinae variegated x Hannibal Lecter	?
6718#6718	NEOREGELIA	Reddy Set Go	Freeman, A., Golinski, K.*	?	chlorosticta	'Princess Grace'
9875#9875	NEOREGELIA	Redlynch Valley	(R Smythe) A Smythe*		chlorosticta	'Princess Grace'
6719#6719	NEOREGELIA	Redneck	Hendrix, G(#8822)Johnson,		sarmentosa	olens x (compacta x Fireball)
6720#6720	NEOREGELIA	Refined Beauty	Paterson M	2000	'Manoa Beauty'	?
6721#6721	NEOREGELIA	Reflections	Freeman, A., Golinski, K.*	1993	'Grace'	'Sweet Nellie'
6722#6722	NEOREGELIA	Regal Beauty	Springhill	1981	'Grace'	'Sweet Nellie'
6723#6723	NEOREGELIA	Regal Glow	Goode, G.	1985	'Star Of Bethlehem'	'Ruby Jean'
6724#6724	NEOREGELIA	Regalia	n/a	<1980	'Star Of Bethlehem'	ampullacea
10068#10068	NEOREGELIA	Regine Catherine			'Star Of Bethlehem'	ampullacea
12926#12926	NEOREGELIA	Rei Momo	Vinzant L	2009	Unk. T	Lua Pele
6725#6725	NEOREGELIA	Reidy	Bromeliario Imperialis*	?	Unk. T	Lua Pele
6726#6726	NEOREGELIA	Rejoice	Freeman, A., Golinski, K.*	1994	'Two Tone'	concentrica
6727#6727	NEOREGELIA	Relish	Freeman, A., Golinski, K.*	1994	'Two Tone'	'Painted Lady'
6728#6728	NEOREGELIA	Rell's Delight	Freeman, A	1986	concentrica	Petite
6729#6729	NEOREGELIA	Rell's Surprise	Freeman, A.	1986	concentrica	'Petite'
6730#6730	NEOREGELIA	Rembrandt	Elmore, J. (#1213)	1979	Pink Spot Hyb. #505	Takemura Grande
6731#6731	NEOREGELIA	Remember Me	Paterson, M.	<1995	olens 'Marie'	'Painted Lady'
6732#6732	NEOREGELIA	Remember Me Too	Paterson, M.	1992	'Vulcan'	'Painted Lady'
6733#6733	NEOREGELIA	Remembrance	Paterson, M.	1992	'Vulcan'	'Painted Lady'
6734#6734	NEOREGELIA	Renaissance	Elmore, J. (#1074)	1977	Dexter's Pride	Marcon
6735#6735	NEOREGELIA	Renata	Oeser, (Kendall, H.*)	<1973	Dexter's Pride	Marcon
6736#6736	NEOREGELIA	Renata Cell	Oliveira, F.	?	carolinae variegated	?
13511#13511	NEOREGELIA	Renegade	Skotak C / E Beach*	2006	(carolinae variegated x Hannibal Lecter) x Norman Bates	Blushing Tiger x Norman Bates
6737#6737	NEOREGELIA	Renoir	Elmore, J. (#1164)	1977	Star Of Brazil	Oh! No!
6738#6738	NEOREGELIA	Renown	Freeman, A., Golinski, K.*	1994	'Two Tone'	'Gee Whiz'
15713#15713	NEOREGELIA	Repton Dazzler	Tristram, Peter	circa 2002	acanthocrater?	Bobby Dazzler
16506#16506	NEOREGELIA	Repton Heat	Tristram, Peter	2012	Shark Noodles	Repton Dazzler
12514#12514	NEOREGELIA	Reptonite	Skotak C / Tristram P*	2002	carolinae variegated hybrid	?
12515#12515	NEOREGELIA	Reptonite Line	Skotak C / Tristram P*	2002	carolinae variegated hybrid	?
12454#12454	NEOREGELIA	Reptonite White	Skotak, Chester / Peter Tristram *	2002	carolinae variegated x ?	?
6739#6739	NEOREGELIA	Resonance	Freeman, A., Golinski, K.*	1994	Hybrid	?
6740#6740	NEOREGELIA	Resplendent	Oeser, (Ferris, O* #21)	<1986	Hybrid	carolinae
6741#6741	NEOREGELIA	Rest Assured	Freeman, A., Golinski, K.*	1994	'Two Tone'	'Gee Whiz'
6742#6742	NEOREGELIA	Resurrection	Elmore J	ca 1979	'Two Tone'	'Gee Whiz'
15897#15897	NEOREGELIA	Retro Rocket	? / Vic Przetocki *	1993	Emerald Fire	?
10236#10236	NEOREGELIA	Revelation	Devonshire A.	2004	Exotica Misty Pink	Bobby Dazzler
6743#6743	NEOREGELIA	Reverence	Goode, G.	2001	Tangerine	One and Only
12442#12442	NEOREGELIA	Reverie	Vinzant L	2007	Unk T	Bingito
6744#6744	NEOREGELIA	Reverse Marcon		<1979	Unk T	Bingito
6745#6745	NEOREGELIA	Reverse Morado	Cathcart, D.*	?	Unk T	Bingito
15036#15036	NEOREGELIA	Reverse Tiger Stripe	Tothon, Tawan	2016	Hannibal Lecter	Pallada Red Hot
6746#6746	NEOREGELIA	Reward	Goode, G.	1974	pineliana	chlorosticta
14690#14690	NEOREGELIA	Rex-T	Skotak C / Jim Pearce*	2006	(carolinae variegated x Hannibal Lecter)	Skotak's Tiger
10265#10265	NEOREGELIA	Reynella Rebel	Sckrabei S*	circa 2009	olens?	?
6747#6747	NEOREGELIA	Rhapsody	Elmore, J. (#1132)	1977	Foster's Red	Green Apple
6749#6749	NEOREGELIA	Rhett	Elmore J	ca 1979	Foster's Red	Green Apple
6750#6750	NEOREGELIA	Rhonda	Elmore J	ca 1979	Foster's Red	Green Apple
11808#11808	NEOREGELIA	Rhonda Dawn	Hole I	<2000	Manoa Beauty	?
6751#6751	NEOREGELIA	Rhubarb	Kreschmann, N. (Tonkin, J.*)	<1991	Big Red	Burbank
